"","X","ifm_peak_frequency","ifm_stop","ifm_peak_freq_resolution","ifm_rms","ifm_region_id","ifm_peak_amplitude","ifm_start","ifm_terminal_frequency","ifm_duration","cf_peak_frequency","cf_stop","cf_peak_freq_resolution","cf_rms","cf_region_id","cf_peak_amplitude","cf_start","cf_terminal_frequency","cf_duration","tfm_peak_frequency","tfm_stop","tfm_peak_freq_resolution","tfm_rms","tfm_region_id","tfm_peak_amplitude","tfm_start","tfm_terminal_frequency","tfm_duration","audio_file","terminal_frequency_threshold","video_annot_id","num_bats","X0","duration","peak_freq_resolution","ifm.cf_dbratio","tfm.cf_dbratio","ifm.peak_db","tfm.peak_db","tfm_dbrms","ifm_dbrms","cf_dbrms","cf.peak_db","multi_bat","annot_id","rechour"
"183",182,NA,NA,NA,NA,"",NA,NA,NA,NA,105099.239864865,0.01908,105.529759392149,0.0262706472037973,"cf1",0.05352783203125,0.000136,104835.304054054,18.944,95665.9619450317,0.020972,1054.85232067511,0.027952513683166,"fm1",0.06817626953125,0.01908,89852.0084566596,1.892,"segment_matching_annotaudio_Aditya_2018-08-17_56_1_hp",-10,"Aditya_2018-08-17_56_1",1,NA,NA,NA,-8.21094462484966,-7.98919750579797,-33.4943340069582,-31.7718645202005,-41.1933307119559,-41.4150778310076,-33.2041332061579,-25.5480766366184,"FALSE","2018-08-17_56_1","2018-08-17_56"
"184",183,103057.199211045,0.002252,984.251968503937,0.00618237490874073,"fm1",0.012298583984375,0.000224,92209.0729783038,2.028,104634.831460674,0.027884,78.003120124805,0.0182552280313096,"cf1",0.035125732421875,0.002252,104478.776529338,25.632,93575.4189944134,0.029316,1388.88888888889,0.0103972860213865,"fm2",0.020111083984375,0.027884,91480.4469273743,1.432,"segment_matching_annotaudio_Aditya_2018-08-17_56_11_hp",-10,"Aditya_2018-08-17_56_11",4,NA,NA,NA,-12.3368518865142,-9.21351547149358,-38.3113372577206,-33.5698639580034,-41.2853930420796,-44.4087294571002,-32.071877570586,-25.8442732371344,"TRUE","2018-08-17_56_11","2018-08-17_56"
"185",184,NA,NA,NA,NA,"",NA,NA,NA,NA,105319.474166921,0.01442,152.81173594132,0.0556339217182269,"cf1",0.10943603515625,0.001336,105395.903393458,13.084,97520.6611570248,0.01684,825.082508250825,0.0406114281615351,"fm1",0.08819580078125,0.01442,89256.1983471074,2.42,"segment_matching_annotaudio_Aditya_2018-08-17_56_58_hp",-10,"Aditya_2018-08-17_56_58",3,NA,NA,NA,-9.60642013122055,-7.07845900893709,-38.5100066726802,-35.9223729595198,-43.1386263595514,-45.6665874818348,-36.0601673506143,-30.282980038786,"TRUE","2018-08-17_56_58","2018-08-17_56"
"186",185,NA,NA,NA,NA,"",NA,NA,NA,NA,103580.048270314,0.020824,100.522718134298,0.0599487778715725,"cf1",0.121124267578125,0.000936,103479.485116653,19.888,100951.374207188,0.022716,1054.85232067511,0.0306222369318648,"fm1",0.08221435546875,0.020824,98308.6680761099,1.892,"segment_matching_annotaudio_Aditya_2018-08-17_56_78_hp",-10,"Aditya_2018-08-17_56_78",1,NA,NA,NA,-5.98286281967113,0.440612197023895,-29.9266728902529,-22.6506559974437,-29.5352096768082,-35.9586846935033,-29.9758218738321,-23.0142275980864,"FALSE","2018-08-17_56_78","2018-08-17_56"
"187",186,100961.538461538,0.000632,4716.98113207547,0.00386493989345567,"fm1",0.00787353515625,0.000216,98557.6923076923,0.416,103423.913043478,0.019032,108.64841373316,0.0164620395392631,"cf1",0.0313720703125,0.000632,103315.217391304,18.4,101274.787535411,0.020444,1412.42937853107,0.00771219886208328,"fm2",0.01806640625,0.019032,96317.2804532578,1.412,"segment_matching_annotaudio_Aditya_2018-08-17_56_96_hp",-10,"Aditya_2018-08-17_56_96",1,NA,NA,NA,-5.04638944585242,-5.77073679017218,-31.0426884714721,-28.9378607977471,-39.5444981148654,-38.8201507705457,-33.7737613246932,-27.257117140645,"FALSE","2018-08-17_56_96","2018-08-17_56"
"218",217,105314.960629921,0.002324,980.392156862745,0.0138217372793033,"fm1",0.035369873046875,0.000292,93996.062992126,2.032,105945.12195122,0.020692,108.837614279495,0.0361806916190076,"cf1",0.073333740234375,0.002324,105890.679442509,18.368,103583.916083916,0.02298,871.080139372822,0.0160535060638919,"fm2",0.038604736328125,0.020692,96153.8461538462,2.288,"segment_matching_annotaudio_Aditya_2018-08-19_23_2_hp",-10,"Aditya_2018-08-19_23_2",1,NA,NA,NA,-6.66770661603634,-6.7626948052759,-32.043320663986,-32.03272165152,-39.5565655485435,-39.4615773593039,-32.7938707432676,-26.7987624319254,"FALSE","2018-08-19_23_2","2018-08-19_23"
"221",220,104938.271604938,0.001732,1533.74233128834,0.0274075352525185,"fm1",0.047576904296875,0.000436,97222.2222222222,1.296,109262.048192771,0.015012,150.511739915713,0.0543339300778121,"cf1",0.090087890625,0.001732,109111.445783133,13.28,107300.884955752,0.01682,1101.32158590308,0.0491431454168691,"fm2",0.0849609375,0.015012,90707.9646017699,1.808,"segment_matching_annotaudio_Aditya_2018-08-19_23_5_hp",-10,"Aditya_2018-08-19_23_5",2,NA,NA,NA,-8.26102631658878,-7.7757313969463,-20.2659208417671,-18.9873230158344,-27.4748144519227,-27.9601093715652,-19.6990830549764,-15.1080921398781,"TRUE","2018-08-19_23_5","2018-08-19_23"
"215",214,101914.414414414,0.001776,1121.07623318386,0.0046817984627346,"fm1",0.01251220703125,0,91216.2162162162,1.776,104029.605263158,0.013936,164.365548980934,0.0135275494296664,"cf1",0.026458740234375,0.001776,103618.421052632,12.16,102514.506769826,0.016004,965.250965250965,0.00922363358402257,"fm2",0.022735595703125,0.013936,96228.2398452611,2.068,"segment_matching_annotaudio_Aditya_2018-08-19_23_17_hp",-10,"Aditya_2018-08-19_23_17",1,NA,NA,NA,-3.34297100499417,-3.04477858627512,-32.3454690292408,-30.9020611745925,-38.6076819997809,-38.9058744184999,-35.5629034135058,-29.9934235714135,"FALSE","2018-08-19_23_17","2018-08-19_23"
"216",215,101918.465227818,0.00194,1196.17224880383,0.0108422805943424,"fm1",0.025482177734375,0.000272,92925.6594724221,1.668,104453.870625663,0.017028,132.485426603074,0.0273295370229353,"cf1",0.050384521484375,0.00194,104321.31495228,15.088,101926.977687627,0.019,1012.14574898785,0.016947089755263,"fm2",0.036468505859375,0.017028,87728.1947261663,1.972,"segment_matching_annotaudio_Aditya_2018-08-19_23_18_hp",-10,"Aditya_2018-08-19_23_18",2,NA,NA,NA,1.40894741167479,-0.247617431003891,-23.3584954992206,-21.9231042641251,-30.1666331858207,-28.5100683431421,-29.9190157548168,-22.9098465522733,"TRUE","2018-08-19_23_18","2018-08-19_23"
"217",216,NA,NA,NA,NA,"",NA,NA,NA,NA,106557.37704918,0.013984,157.529930686831,0.048549740283479,"cf1",0.10137939453125,0.001296,106320.933165195,12.688,100340.136054422,0.015748,1131.22171945701,0.0361487008901565,"fm1",0.069915771484375,0.013984,91269.8412698413,1.764,"segment_matching_annotaudio_Aditya_2018-08-19_23_19_hp",-10,"Aditya_2018-08-19_23_19",1,NA,NA,NA,NA,-8.7392612990406,NA,-31.1856300896871,-39.9138810096635,NA,-31.1746197106229,-25.1890841647463,"FALSE","2018-08-19_23_19","2018-08-19_23"
